City,State,Original_Portal,Portal_URL,Software,TotalDatasetsAvailable,NotesDatasetsAvailable,CountVettedPublicLibData,TypePLDataAvailable,LibraryDataCategories,ProportionPublicLibData,DateLibDataLastUpdated,Notes,OpenDataCensusScores,StateAbbr,LibID,LibName,Locale,ServiceAreaPop,UnduplicatedPop,CentralLibs,BranchLibs,Bookmobiles,MLSLibStaff,LibStaff,OtherStaff,TotalStaff,LocalRevenue,StateRevenue,FederalRevenue,OtherRevenue,TotalRevenue,Salaries,Benefits,TotalStaffExpenditures,PrintExpenditures,ElectronicExpenditures,OtherCollectionExpenditures,TotalCollectionExpenditures,OtherExpenditures,TotalExpenditures,LocalCapitalRevenue,StateCapitalRevenue,FederalCapitalRevenue,OtherCapitalRevenue,TotalCapitalRevenue,CapitalExpenditures,PrintMaterials,EBooks,AudioMaterials,AudioDownloads,VideoMaterials,VideoDownloads,LocalDatabases,StateDatabases,TotalDatabases,PrintSerials,Hours,Visits,References,Users,TotalCirculation,KidsCirculation,ElectronicCirculation,PhysicalItemCirculation,ElectronicInfoRetrievals,ElectronicContentUses,TotalCirculationAndRetrievals,LoansTo,LoansFrom,TotalPrograms,KidsPrograms,YAPrograms,ProgramAudience,KidsProgramAudience,YAProgramAudience,Computers,ComputerUses,WiFiSessions,Year,StartDate,EndDate,ReportingStatus,BEARegion,InterlibraryRelationship,MailingCity,MailingZip,County,CountyPop,MetroMicroArea,ESRIMatchStatus,GeographicCode,GeocodeScore,Longitude
Anaheim,California,http://anaheim.opendata.junar.com/home,http://main-anaheim.opendata.arcgis.com/,ArcGIS ,4,,0,,,0,,,,CA,M603,ANAHEIM PUBLIC LIBRARY,11,358136,358136,1,7,1,19.42,20.42,51.77,72.19,8625020,36436,241034,342866,9245356,3947852,2220377,6168229,390734,104294,79196,574224,2449951,9192404,57612,0,0,0,57612,0,480161,4416,9980,792,38706,0,20,0,20,656,15461,1098146,89892,217661,1169829,707524,41718,1128111,6965,48683,1176794,3973,12,3924,3265,314,99186,83883,7362,227,150712,-1,2017,7/1/2015,6/30/2016,1,8,ME,ANAHEIM,92805,ORANGE,3172532,0,E,CI1,100,"(33.831962, -117.918992)"
Anchorage,Alaska,https://data.muni.org/,https://data.muni.org/,Socrata,60,,0,,,0,,,1430,AK,AK0002-011,ANCHORAGE PUBLIC LIBRARY,11,299037,296338,1,4,0,18.7,25.7,52.5,78.2,11861783,51592,192990,209834,12316199,4198468,2630020,6828488,564411,290209,31891,886511,4472393,12187392,0,15000000,0,0,15000000,5000000,367652,13694,37639,47992,66509,0,14,42,56,727,10608,860751,67785,100065,1831505,531712,137015,1688900,214404,351419,2040319,2971,2619,1898,971,426,55767,39438,4955,162,130431,22549,2017,1/1/2015,12/31/2015,1,8,NO,ANCHORAGE,99503,ANCHORAGE,298192,0,E,MA1,100,"(61.187512, -149.876735)"
Arlington,Texas,http://www.arlington-tx.gov/data/,http://data-arlingtontx.opendata.arcgis.com/,ArcGIS ,38,,1,location ,geospatial,0.02631578947,11.27.2018,,,TX,16,ARLINGTON PUBLIC LIBRARY SYSTEM,11,388125,387235,1,6,0,19.98,24.98,78.1,103.08,7275608,0,170072,365332,7811012,3819295,1215866,5035161,527886,307206,144492,979584,1763031,7777776,0,0,0,23295,23295,23295,483432,20389,37401,11473,36826,0,19,61,80,362,20462,1253333,101888,172525,2292266,942754,226365,2065901,-1,226365,2292266,53964,29417,3773,1636,332,76417,51896,4837,250,256566,0,2017,10/1/2015,9/30/2016,2,6,ME,ARLINGTON,76004,TARRANT,2016872,0,E,CI1,100,"(32.738349, -97.114584)"
Aurora,Colorado,https://apps2.auroragov.org/opendata/,http://data-auroraco.opendata.arcgis.com/,ArcGIS ,103,,0,,,0,,,,CO,FSCS0007,AURORA PUBLIC LIBRARY,11,357340,353335,1,5,0,12,12,56.3,68.3,5703300,83257,0,351542,6138099,2929592,893705,3823297,740585,243411,28973,1012969,835425,5671691,0,0,0,0,0,0,220288,94303,17688,29497,17070,10948,37,0,37,215,19040,1161139,184662,165007,1092078,332289,179773,912305,26747,206520,1118825,1083,989,1789,1257,148,111075,44919,2151,274,385456,-1,2017,1/1/2016,12/31/2016,1,7,ME,AURORA,80012,ARAPAHOE,637068,0,E,CI1,100,"(39.710064, -104.815473)"
Bakersfield,California,http://www.bakersfieldcity.us/gov/depts/community_development/planning/planning_services/mapping_n_gis.htm,http://www.bakersfieldcity.us/gov/depts/community_development/planning/planning_services/mapping_n_gis.htm,ArcGIS ,30,map layers,0,Shapefiles (layers),geospatial,0,11.01.2018,"Two different data ""portals"" which are difficult to compare to traditional data portals like Socrata https://bakersfieldcity.us/gov/depts/geographic_information_services/data_download.htm and http://bakersfielddatalibrary-cob.opendata.arcgis.com/ ",,CA,M647,KERN COUNTY LIBRARY,11,886507,886507,1,23,3,11,12,72.2,84.2,6966804,0,89000,535067,7590871,3452395,2126607,5579002,458117,110652,11908,580677,1431192,7590871,0,0,0,0,0,0,787002,83671,36534,2409,24344,0,25,0,25,278,37544,890526,122779,148509,957813,458646,101122,856691,10201,111323,968014,124040,73523,3844,2810,353,68496,56143,3308,252,195351,-1,2017,7/1/2015,6/30/2016,1,8,ME,BAKERSFIELD,93301,KERN,884788,0,E,CO1,100,"(35.373214, -119.00943)"
Baltimore,Maryland,https://data.baltimorecity.gov/,https://data.baltimorecity.gov/,Socrata,104,restricted to type: Datasets,1,location ,geospatial,0.009615384615,02.05.2017,"Searches restricted to view type ""Datasets""",520,MD,MD0003,ENOCH PRATT FREE LIBRARY,11,622104,622104,1,21,2,97,120,280,400,15914600,8266100,194260,17073940,41448900,19784777,7225684,27010461,1209375,1618255,280061,3107691,10896029,41014181,5619219,0,0,0,5619219,1676700,1974698,48969,62723,29074,58289,0,60,9,69,2307,41291,1697153,2025590,293908,1194530,382234,99660,1094870,910486,1010146,2105016,42406,33890,8571,4595,1258,149738,92370,14991,914,315963,762358,2017,7/1/2015,6/30/2016,1,2,NO,BALTIMORE,21201,BALTIMORE CITY,614664,0,E,CI2,100,"(39.294539, -76.616867)"
Baton Rouge,Louisiana,https://data.brla.gov/,https://data.brla.gov/,Socrata,37,restricted to type: Datasets,1,location,geospatial,0.02702702703,12.02.2018,"Searches restricted to view type ""Datasets"". This is a dataset with all City-Parish facilities and includes public library locations. It is not specific to libraries.",1425,LA,FSCS4016,EAST BATON ROUGE PARISH,12,447037,444945,1,13,3,111.5,324,78.25,402.25,34901930,0,0,335608,35237538,14556295,7163112,21719407,2281214,2594465,764463,5640142,11563027,38922576,8950940,0,0,0,8950940,19571725,1667004,103425,64550,28959,161435,5516,112,51,163,2770,48464,2455899,861525,294505,2729254,573653,478835,2250419,1356091,1834926,4085345,7623,2294,22608,7492,3595,457177,84561,55243,723,675939,753583,2017,1/1/2016,12/31/2016,1,5,NO,BATON ROUGE,70806,EAST BATON ROUGE,447037,0,E,CO1,100,"(30.442467, -91.106342)"
Berkeley,California,http://www.ci.berkeley.ca.us/ContentDisplay.aspx?id=105239,http://www.ci.berkeley.ca.us/ContentDisplay.aspx?id=105239,Socrata,25,,0,,,0,,,,CA,M607,BERKELEY PUBLIC LIBRARY,12,119915,119915,1,4,0,32.3,32.3,80.7,113,17286659,59167,0,372823,17718649,7806034,5238162,13044196,735393,364107,202886,1302386,1992211,16338793,0,0,0,3410,3410,2500,453127,234494,45212,319918,30644,0,5,0,5,360,13624,1350858,235720,115376,2043562,422489,203580,1839982,20923,224503,2064485,93787,92582,3176,1341,522,82963,44829,14708,134,169571,84758,2017,7/1/2015,6/30/2016,1,8,ME,BERKELEY,94704,ALAMEDA,1647704,0,E,CI1,100,"(37.868364, -122.268567)"
Boston,Massachusetts,https://data.boston.gov/,https://data.boston.gov/,CKAN,142,,3,"location, electricity usage, user counts","geospatial,utilities,patrons",0.02112676056,,,1390,MA,BOSTON,BOSTON PUBLIC LIBRARY,11,645966,641332,1,25,0,141.38,147.33,271.15,418.48,34092573,1099688,0,6228077,41420338,24203667,318437,24522104,2251559,1723799,371996,4347354,13154857,42024315,36380081,0,0,0,36380081,1485354,7997591,95927,35220,32343,68272,224,190,60,250,2107,52476,3540693,517313,149106,4792249,1431117,1185055,3598539,371019,1556074,5154613,11642,7626,15745,8764,1156,228959,141438,8764,585,572000,454163,2017,7/1/2015,6/30/2016,2,1,ME,BOSTON,2116,SUFFOLK,784230,0,E,CI1,100,"(42.349528, -71.079283)"
Buffalo,New York,https://data.ny.gov/,https://data.buffalony.gov/,Socrata,616,restricted to type: Datasets,0,,,0,,"Searches restricted to view type ""Datasets"".",,NY,800000000,BUFFALO AND ERIE COUNTY PUBLIC LIBRARY,11,919040,911925,1,8,1,45.14,57.39,168.11,225.5,24414277,3275342,64909,1126711,28881239,8709396,4453214,13162610,381489,338476,226998,946963,12675415,26784988,0,0,0,207686,207686,304621,1920444,44784,103946,8900,81042,99,46,10,56,866,19759,937611,180936,78694,3002670,520715,552201,2450469,518059,1070260,3520729,1616,4639,2443,717,131,55701,12403,2442,385,356167,474652,2017,1/1/2016,12/31/2016,1,2,HQ,BUFFALO,14203,ERIE,921046,0,E,CO1,100,"(42.885366, -78.873364)"
