City,State,Original Portal,Latest Portal ,Software,Datasets available,Notes about Datasets available,Public Library Data (Vetted),What is available? ,Proportion Library Data,"Searched ""library"" ","Searched ""public library"" ",,Library Data Last Updated,Notes
Albuquerque,New Mexico,https://www.cabq.gov/abq-data/,https://www.cabq.gov/abq-data/,None,48,,0,,0,,,,,
Anaheim,California,http://anaheim.opendata.junar.com/home,http://main-anaheim.opendata.arcgis.com/datasets?t=Public%20Safety,ArcGIS ,4,,0,,0,,,,,
Anchorage,Alaska,https://data.muni.org/,https://data.muni.org/,Socrata,60,,0,,0,,,,,
Arlington,Texas,http://www.arlington-tx.gov/data/,http://data-arlingtontx.opendata.arcgis.com/,ArcGIS ,38,,1,location ,0.02631578947,1,1,http://data-arlingtontx.opendata.arcgis.com/datasets?q=library,11.27.2018,
Atlanta,Georgia,"http://opendata.atlantaregional.com/
 http://gis.atlantaga.gov/
 http://opendata.atlantapd.org/","https://www.atlantaga.gov/government/mayor-s-office/executive-offices/office-of-innovation-delivery-and-performance/dataatlanta
",Custom Aggregator,unknown,,,,#VALUE!,,,,,
Aurora,Colorado,https://apps2.auroragov.org/opendata/,http://data-auroraco.opendata.arcgis.com/datasets?q=Library%20,ArcGIS,103,,0,,0,,,,,
Austin,Texas,https://data.austintexas.gov/,https://data.austintexas.gov/,Socrata,971,restricted to type: Datasets,5,"location, circulation, cardholder count, wireless usage, social media presence",0.005149330587,16,13,https://data.austintexas.gov/browse?q=library&sortBy=relevance&utf8=%E2%9C%93,12.13.2018,"Searched for ""library"" restricted to type ""dataset"", chose only those datasets directly related to public libraries. Searches restricted to view type ""Datasets"""
Bakersfield,California,http://www.bakersfieldcity.us/gov/depts/community_development/planning/planning_services/mapping_n_gis.htm,http://www.bakersfieldcity.us/gov/depts/community_development/planning/planning_services/mapping_n_gis.htm,ArcGIS,30,map layers,0,Shapefiles (layers),0,,,,11.01.2018,"Two different data ""portals"" which are difficult to compare to traditional data portals like Socrata https://bakersfieldcity.us/gov/depts/geographic_information_services/data_download.htm and http://bakersfielddatalibrary-cob.opendata.arcgis.com/ "
Baltimore,Maryland,https://data.baltimorecity.gov/,https://data.baltimorecity.gov/,Socrata,104,restricted to type: Datasets,1,location ,0.009615384615,2,2,,02.05.2017,"Searches restricted to view type ""Datasets"""
Baton Rouge,Louisiana,https://data.brla.gov/,https://data.brla.gov/,Socrata,37,restricted to type: Datasets,1,location,0.02702702703,1,1,,12.02.2018,"Searches restricted to view type ""Datasets"". This is a dataset with all City-Parish facilities and includes public library locations. It is not specific to libraries."
Berkeley,California,http://www.ci.berkeley.ca.us/ContentDisplay.aspx?id=105239,https://data.cityofberkeley.info/,Socrata,25,,0,,0,0,0,,,
Boise,Idaho,http://opendata.cityofboise.org/,http://opendata.cityofboise.org/,ArcGIS,58,,0,,0,,,,,
Boston,Massachusetts,https://data.boston.gov/,https://data.boston.gov/,CKAN,142,,3,"location, electricity usage, user counts",0.02112676056,4,4,,,
Buffalo,New York,https://data.ny.gov/,https://data.buffalony.gov/,Socrata,616,restricted to type: Datasets,0,,0,4,3,,,"Searches restricted to view type ""Datasets""."
Chandler,Arizona,https://www.chandlerpd.com/data/,https://www.chandlerpd.com/data/,Socrata?,9,only police dept data,0,,0,,,,,
Charlotte,North Carolina,http://clt-charlotte.opendata.arcgis.com/,http://data.charlottenc.gov/,ArcGIS,138,,2,location (Spatial dataset),0.01449275362,2,2,,11.28.2018,
Chesapeake,Virginia,http://www.cityofchesapeake.net/government/City-Departments/Departments/Information-Technology-Department/open-data-portal.htm,http://www.cityofchesapeake.net/government/City-Departments/Departments/Information-Technology-Department/open-data-portal.htm,Custom Aggregator,45,,0,  ,0,2,,,,"These aren't actually datasets, they are just links out to the library websites.
"
Chicago,Illinois,https://data.cityofchicago.org/,https://data.cityofchicago.org/,Socrata,452,restricted to type: Datasets,55,"locations, circulation, popular titles, computer sessions, FOIA requests, visitors, holds, wi-fi usage, summer reading program",0.1216814159,75,56,,12.27.2018,"Searches restricted to view type ""Datasets""."
Chula Vista,California,http://www.chulavistaca.gov/departments/police-department/about-us/open-data-initiative,https://chulavista-cvgis.opendata.arcgis.com/,ArcGIS,45,,0,,0,0,0,,,
Cincinnati,Ohio,https://data.cincinnati-oh.gov/,https://data.cincinnati-oh.gov/,Socrata,83,restricted to type: Datasets,0,,0,0,0,,,
Columbus,Ohio,http://data-columbus.opendata.arcgis.com/,http://data-columbus.opendata.arcgis.com/,ArcGIS,79,,0,,0,1,1,,,"Only dataset related to libraries is called ""Public Places"""
Dallas,Texas,https://www.dallasopendata.com/,https://www.dallasopendata.com/,Socrata,87,restricted to type: Datasets,1,location,0.01149425287,2,2,,02.10.2017,"Searches restricted to view type ""Datasets""."
Denver,Colorado,https://www.denvergov.org/opendata,https://www.denvergov.org/opendata,CKAN,229,,1,"location, door count, circulation, square footage",0.004366812227,1,1,,01.11.2018,
Detroit,Michigan,https://data.detroitmi.gov/,https://data.detroitmi.gov/,Socrata,85,restricted to type: Datasets,0,,0,0,0,,,"Searches restricted to view type ""Datasets""."
Durham,North Carolina,https://opendurham.nc.gov/page/home/,http://gis-durhamnc.opendata.arcgis.com/,ArcGIS,163,,23,"location, door counts, programs, program attendance, collections, Spanish Language Use, meetings, meeting attendance, technology use, borrower data",0.1411042945,24,3,,12.20.2018,
Fort Wayne,Indiana,http://maps.cityoffortwayne.org/,http://maps.cityoffortwayne.org/,ArcGIS,51,map layers,0,,0,,,,,
Fort Worth,Texas,https://data.fortworthtexas.gov/,https://data.fortworthtexas.gov/,Socrata,10,restricted to type: Datasets,0,,0,1,0,,,
Fremont,California,https://fremont.gov/2082/Open-Data,https://fremont.gov/2082/Open-Data,ArcGIS,15,,0,,0,0,0,,,
Glendale,Arizona,http://data-cog-gis.opendata.arcgis.com/,http://data-cog-gis.opendata.arcgis.com/,ArcGIS,25,,1,location,0.04,1,0,,09.18.2012,
Greensboro,North Carolina,https://data.greensboro-nc.gov/,https://data.greensboro-nc.gov/,Socrata,14,restricted to type: Datasets,0,,0,0,0,,,
