STATE,FSCS ID,LIBRARY ID,LIBRARY NAME,ADDRESS,CITY,ZIP,LOCALE,REAP LOCALE,SERVICE AREA POPULATION,UNDUPLICATED POPULATION,CENTRAL LIBRARIES,BRANCH LIBRARIES,BOOKMOBILES,MLS LIBRARIAN STAFF,LIBRARIAN STAFF,OTHER STAFF,TOTAL STAFF,LOCAL REVENUE,STATE REVENUE,FEDERAL REVENUE,OTHER REVENUE,TOTAL REVENUE,SALARIES,BENEFITS,TOTAL STAFF EXPENDITURES,PRINT EXPENDITURES,ELECTRONIC EXPENDITURES,OTHER COLLECTION EXPENDITURES,TOTAL COLLECTION EXPENDITURES,OTHER EXPENDITURES,TOTAL EXPENDITURES,LOCAL CAPITAL REVENUE,STATE CAPITAL REVENUE,FEDERAL CAPITAL REVENUE,OTHER CAPITAL REVENUE,TOTAL CAPITAL REVENUE,CAPITAL EXPENDITURES,PRINT MATERIALS,EBOOKS,AUDIO MATERIALS,AUDIO DOWNLOADS,VIDEO MATERIALS,VIDEO DOWNLOADS,LOCAL DATABASES,STATE DATABASES,TOTAL DATABASES,PRINT SERIALS,HOURS,VISITS,REFERENCES,USERS,TOTAL CIRCULATION,KIDS CIRCULATION,ELECTRONIC CIRCULATION,PHYSICAL ITEM CIRCULATION,ELECTRONIC INFO RETRIEVALS,ELECTRONIC CONTENT USES,TOTAL CIRCULATION & RETRIEVALS,LOANS TO,LOANS FROM,TOTAL PROGRAMS,KIDS PROGRAMS,YA PROGRAMS,PROGRAM AUDIENCE,KIDS PROGRAM AUDIENCE,YA PROGRAM AUDIENCE,COMPUTERS,COMPUTER USES,WIFI SESSIONS,YEAR,START DATE,END DATE,REPORTING STATUS,BEA REGION,STRUCTURE CHANGE,NAME CHANGE,ADDRESS CHANGE,INTERLIBRARY RELATIONSHIP,MAILING ADDRESS,MAILING CITY,MAILING ZIP,PHONE,COUNTY,COUNTY POPULATION,LEGAL BASIS,ADMINISTRATIVE STRUCTURE,FSCS DEFINITION,LSABOUND,INCITS STATE CODE,INCITS COUNTY CODE,GNIS ID,CENSUS TRACT,CENSUS BLOCK,CONGRESSIONAL DISTRICT,CBSA,METRO/MICRO AREA,ADDRESS MATCH TYPE,ESRI MATCH STATUS,GEOGRAPHIC CODE,GEOCODE SCORE,LONGITUDE
NM,NM0002,NM0002-002,ALBUQUERQUE/BERNALILLO COUNTY LIBRARY SYSTEM,501 COPPER AVE. NW,ALBUQUERQUE,87102,11,1,"662,564","661,408",1,17,1,42,42,104,146,"15,071,010","814,813","49,156","244,665","16,179,644","5,628,204","2,612,477","8,240,681","1,532,276","850,534","656,063","3,038,873","3,539,242","14,818,796.00","2,050,000.00","73,419.00",0,0,"2,123,419.00","4,204,792.00","941,774","74,460","53,018","23,283","124,488","1,152",47,49,96,"1,645","42,097","2,134,954","402,797","379,682","4,223,348","1,158,200","656,465","3,566,883","6,236,711","6,893,176","10,460,059","3,237","5,006","5,086","3,258",365,"92,599","78,399","1,913",354,"729,503","29,379",2017,07/01/2015,06/30/2016,1,6,0,0,0,NO,501 COPPER AVE. NW,ALBUQUERQUE,87102,5057685100,BERNALILLO,"676,953",CC,MO,Y,N,35,1,2000,21,1028,3501,10740,0,StreetAddress,E,CO1,100,"(35.085738, -106.652711)"
CA,CA0007,M603,ANAHEIM PUBLIC LIBRARY,500 W. BROADWAY,ANAHEIM,92805,11,1,"358,136","358,136",1,7,1,19.42,20.42,51.77,72.19,"8,625,020","36,436","241,034","342,866","9,245,356","3,947,852","2,220,377","6,168,229","390,734","104,294","79,196","574,224","2,449,951","9,192,404.00","57,612.00",0,0,0,"57,612.00",0,"480,161","4,416","9,980",792,"38,706",0,20,0,20,656,"15,461","1,098,146","89,892","217,661","1,169,829","707,524","41,718","1,128,111","6,965","48,683","1,176,794","3,973",12,"3,924","3,265",314,"99,186","83,883","7,362",227,"150,712",-1,2017,7/1/15,6/30/16,1,8,0,0,0,ME,500 W. BROADWAY,ANAHEIM,92805,7147651810,ORANGE,"3,172,532",CI,MO,Y,N,6,59,2000,872,2010,646,31080,0,StreetAddress,E,CI1,100,"(33.831962, -117.918992)"
AK,AK0002,AK0002-011,ANCHORAGE PUBLIC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,11,1,"299,037","296,338",1,4,0,18.7,25.7,52.5,78.2,"11,861,783","51,592","192,990","209,834","12,316,199","4,198,468","2,630,020","6,828,488","564,411","290,209","31,891","886,511","4,472,393","12,187,392.00",0,"15,000,000.00",0,0,"15,000,000.00","5,000,000.00","367,652","13,694","37,639","47,992","66,509",0,14,42,56,727,"10,608","860,751","67,785","100,065","1,831,505","531,712","137,015","1,688,900","214,404","351,419","2,040,319","2,971","2,619","1,898",971,426,"55,767","39,438","4,955",162,"130,431","22,549",2017,1/1/15,12/31/15,1,8,0,0,0,NO,3600 DENALI STREET,ANCHORAGE,99503,9073432892,ANCHORAGE,"298,192",CO,MO,Y,N,2,20,3000,19,3002,200,11260,0,PointAddress,E,MA1,100,"(61.187512, -149.876735)"
TX,TX0068,16,ARLINGTON PUBLIC LIBRARY SYSTEM,200 N COOPER ST,ARLINGTON,76011,11,1,"388,125","387,235",1,6,0,19.98,24.98,78.1,103.08,"7,275,608",0,"170,072","365,332","7,811,012","3,819,295","1,215,866","5,035,161","527,886","307,206","144,492","979,584","1,763,031","7,777,776.00",0,0,0,"23,295.00","23,295.00","23,295.00","483,432","20,389","37,401","11,473","36,826",0,19,61,80,362,"20,462","1,253,333","101,888","172,525","2,292,266","942,754","226,365","2,065,901",-1,"226,365","2,292,266","53,964","29,417","3,773","1,636",332,"76,417","51,896","4,837",250,"256,566",0,2017,10/01/2015,09/30/2016,2,6,0,0,0,ME,"PO BOX 90231, MS 10-0100",ARLINGTON,76004,8174596900,TARRANT,"2,016,872",CI,MO,Y,N,48,439,4000,1222,2020,4806,19100,0,PointAddress,E,CI1,100,"(32.738349, -97.114584)"
GA,GA0022,GA0022,ATLANTA FULTON PUBLIC LIBRARY SYSTEM,ONE MARGARET MITCHELL SQUARE,ATLANTA,30303,11,1,"1,035,754","1,035,754",1,37,0,117,117,196.53,313.53,"25,735,578","1,316,325",0,"314,377","27,366,280","13,869,247","6,640,644","20,509,891","1,450,101","553,931","310,302","2,314,334","4,518,259","27,342,484.00","45,375,573.00",0,0,0,"45,375,573.00","45,375,573.00","2,619,417","232,772","62,542","37,366","36,683","111,437",20,60,80,"1,506","81,584","3,427,060","1,132,611","570,171","3,219,786","1,687,842","220,276","2,999,880","66,817","287,093","3,286,973","1,512","1,137","8,047","3,632",655,"192,689","121,488","17,922",972,"930,151","428,092",2017,07/01/2015,06/30/2016,1,5,0,0,0,NO,"ONE MARGARET MITCHELL SQUARE, 6TH F",ATLANTA,30303,4047301700,FULTON,"1,023,336",CO,MO,Y,N,13,121,4000,119,2031,1305,12060,0,StreetAddress,E,CO1,92.43,"(33.757313, -84.388325)"
CO,CO0007,FSCS0007,AURORA PUBLIC LIBRARY,14949 E ALAMEDA PARKWAY,AURORA,80012,11,1,"357,340","353,335",1,5,0,12,12,56.3,68.3,"5,703,300","83,257",0,"351,542","6,138,099","2,929,592","893,705","3,823,297","740,585","243,411","28,973","1,012,969","835,425","5,671,691.00",0,0,0,0,0,0,"220,288","94,303","17,688","29,497","17,070","10,948",37,0,37,215,"19,040","1,161,139","184,662","165,007","1,092,078","332,289","179,773","912,305","26,747","206,520","1,118,825","1,083",989,"1,789","1,257",148,"111,075","44,919","2,151",274,"385,456",-1,2017,01/01/2016,12/31/2016,1,7,0,0,0,ME,14949 E. ALAMEDA PARKWAY,AURORA,80012,3037396640,ARAPAHOE,"637,068",CI,MO,Y,N,8,5,4000,810,4002,806,19740,0,PointAddress,E,CI1,100,"(39.710064, -104.815473)"
TX,TX0111,20,AUSTIN PUBLIC LIBRARY,800 GUADALUPE ST,AUSTIN,78701,11,1,"931,830","929,693",1,21,0,74.83,74.83,227.13,301.96,"42,017,519",0,0,"1,170,160","43,187,679","18,515,885","10,161,393","28,677,278","2,651,380","723,818","406,388","3,781,586","9,558,655","42,017,519.00","5,615,000.00",0,0,"492,180.00","6,107,180.00","34,229,619.00","991,588","253,719","38,862","339,831","112,714","15,660",51,61,112,962,"64,428","3,203,534","108,975","570,446","6,091,175","2,249,398","1,066,809","5,024,366",-1,"1,066,809","6,091,175","1,477",887,"8,862","4,137","1,740","237,775","151,301","30,871",606,"635,280","392,939",2017,10/01/2015,09/30/2016,1,6,0,0,0,ME,PO BOX 2287,AUSTIN,78768,5129747400,TRAVIS,"1,199,323",CI,MO,Y,N,48,453,5000,11,1041,4821,12420,0,PointAddress,E,CI1,100,"(30.271042, -97.745581)"
TX,TX0357,440,LAKE TRAVIS COMMUNITY LIBRARY,1938 LOHMANS CROSSING RD,AUSTIN,78734,21,3,"31,777","31,704",1,0,0,3,3,4.73,7.73,"926,353",942,0,"43,676","970,971","255,613","44,025","299,638","55,539","20,438","15,905","91,882","205,872","597,392.00",0,0,0,0,0,"44,247.00","34,815","11,978","2,732","2,322","4,713",118,4,61,65,44,"2,570","114,785","12,831","20,314","280,656","108,121","19,427","261,229",-1,"19,427","280,656",41,"1,053",895,516,28,"17,853","14,505",298,23,"8,135",0,2017,07/01/2015,06/30/2016,1,6,0,0,0,ME,1938 LOHMANS CROSSING RD,AUSTIN-LAKEWAY,78734,5122632885,TRAVIS,"1,199,323",LD,SO,Y,N,48,453,40984,17.73,3016,4825,12420,0,PointAddress,E,SD1,100,"(30.343765, -97.974105)"
TX,TX0370,452,WESTBANK COMMUNITY LIBRARY DISTRICT,1309 WESTBANK DR,AUSTIN,78746,21,3,"29,180","29,113",1,1,0,13.88,18.21,3.25,21.46,"2,266,545",0,0,"124,163","2,390,708","1,042,054","258,032","1,300,086","125,024","100,965","42,499","268,488","468,857","2,037,431.00",0,0,0,0,0,"13,063.00","75,969","4,284","6,475","1,400","12,738",0,16,61,77,162,"5,400","268,717","9,569","25,375","513,621","221,923","39,255","474,366",-1,"39,255","513,621",238,748,"1,377",725,25,"32,134","13,892",284,25,"15,021","114,036",2017,01/01/2016,12/31/2016,1,6,0,0,0,ME,1309 WESTBANK DR,AUSTIN-WEST LAKE HIL,78746,5123143580,TRAVIS,"1,199,323",LD,MO,Y,N,48,453,M,19.19,3014,4825,12420,0,PointAddress,E,OTH,100,"(30.274314, -97.811845)"
TX,TX0664,583,WELLS BRANCH COMMUNITY LIBRARY,15001 WELLS PORT DR,AUSTIN,78728,21,3,"13,831","13,799",1,0,0,3.88,3.88,5.4,9.28,"962,305",0,0,"43,696","1,006,001","389,605","69,371","458,976","71,498","16,379","21,273","109,150","218,362","786,488.00","190,000.00",0,0,0,"190,000.00","190,000.00","44,819","11,569","2,234","2,957","6,226",166,4,61,65,62,"3,038","105,042","2,079","9,209","180,154","105,243","9,353","170,801",-1,"9,353","180,154",23,46,877,516,54,"14,707","12,814",409,16,"13,502","56,797",2017,01/01/2016,12/31/2016,1,6,0,0,0,ME,15001 WELLS PORT DR,AUSTIN-WELLS BRANCH,78728,5129893188,TRAVIS,"1,199,323",LD,SO,Y,N,48,453,77196,18.51,3027,4817,12420,0,PointAddress,E,OTH,100,"(30.44609, -97.67609)"
